order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
04A,RSCs with Next.js,Abbreviated Intro to Next.js,rscs-with-nextjs/abbreviated-intro-to-nextjs,n,/lessons/rscs-with-nextjs/abbreviated-intro-to-nextjs,"Explore Next.js and React Server Components (RSC) in the ""Intermediate React v6"" course by Brian Holt for Frontend Masters. This guide uses Next.js as a tool to demonstrate RSCs, covering basic setup, dependencies, and the implementation of essential page components for developing apps like Note Passer. Begin your Next.js journey with practical insights on integrating versatile front-end frameworks with a wide range of back-end solutions for web development success."
04B,RSCs with Next.js,Server Components,rscs-with-nextjs/server-components,n,/lessons/rscs-with-nextjs/server-components,"Learn how to create a server component in React to display user-specific notes using SQLite, as part of the Intermediate React v6 course taught by Brian Holt for Frontend Masters. This lesson guides you through setting up a route to fetch and display notes for a logged-in user, leveraging async functions and server components."
04C,RSCs with Next.js,Server Actions,rscs-with-nextjs/server-actions,n,/lessons/rscs-with-nextjs/server-actions,"Learn how to create server actions in React using a backend function integration with forms, simplifying the process of managing form data in this lesson from Brian Holt's Intermediate React v6 course from Frontend Masters. This tutorial covers the implementation of server components to automatically handle data transport from frontend to backend without manual 'fetch' coding."
04D,RSCs with Next.js,Server and Client Components Together,rscs-with-nextjs/server-and-client-components-together,n,/lessons/rscs-with-nextjs/server-and-client-components-together,"Learn how to effectively combine server and client components in React by implementing a polling system for real-time data updates, as explained by Brian Holt in Intermediate React v6 for Frontend Masters."
04E,RSCs with Next.js,Limitations of RSCs,rscs-with-nextjs/limitations-of-rscs,n,/lessons/rscs-with-nextjs/limitations-of-rscs,"In the Intermediate React v6 course by Brian Holt for Frontend Masters, learn how to work with React Server Components (RSC) by implementing a client component that renders a server component, with special emphasis on overcoming data transmission barriers between them using pre-rendering and client-side APIs. Discover key insights on optimizing React applications with this advanced web development tutorial."
05A,Performance Optimizations,Where React Can Be Slow,performance-optimizations/where-react-can-be-slow,gauge-high,/lessons/performance-optimizations/where-react-can-be-slow,"Learn how to enhance React performance by using tools like memo, useMemo, and useCallback, as taught by Brian Holt in ""Intermediate React v6"" for Frontend Masters. Discover when to optimize your React components to avoid unnecessary re-renders and improve efficiency without preemptive adjustments. The course is perfect for developers seeking to refine their React skills with practical insights and advanced concepts."
05B,Performance Optimizations,The Project,performance-optimizations/the-project,gauge-high,/lessons/performance-optimizations/the-project,"Explore performance optimization techniques in React with Brian Holt's course ""Intermediate React v6"" as you build a markdown previewer using artificial jank for testing. This segment covers creating MarkdownPreview.jsx and App.jsx, addressing rendering issues, and demonstrating the use of dangerouslySetInnerHTML to prevent XSS attacks."
05C,Performance Optimizations,Fixing It,performance-optimizations/fixing-it,gauge-high,/lessons/performance-optimizations/fixing-it,"This guide explains how to optimize React component re-rendering using memoization techniques such as the memo function, useCallback, and useMemo, highlighting how these can prevent unnecessary re-renders by ensuring that a component only re-renders when its props or state variables change. Authored by Brian Holt for the Intermediate React v6 course, offered by Frontend Masters, this lesson is essential for web developers seeking to enhance React performance and manage state efficiently in their applications."
05D,Performance Optimizations,Other Perf Questions,performance-optimizations/other-perf-questions,gauge-high,/lessons/performance-optimizations/other-perf-questions,"Explore the differences between useMemo and useCallback Hooks in React, as explained by Brian Holt in the Intermediate React v6 course for Frontend Masters. Understand when to use these Hooks for performance optimization and learn about the potential pitfalls of overusing memoization, alongside insights into React Compiler. Enhance your React skills with practical advice on state management and performance enhancement techniques."
06A,Transitions,What Are Transitions,transitions/what-are-transitions,shuffle,/lessons/transitions/what-are-transitions,"Learn how to use React's useTransition hook to optimize user experience when selecting options with poor network connectivity, ensuring the user interface remains interactive by building a sports score app with delayed API responses, as taught by Brian Holt in the 'Intermediate React v6' course for Frontend Masters."
06B,Transitions,The Project,transitions/the-project,shuffle,/lessons/transitions/the-project,"Explore Brian Holt's 'Intermediate React v6' course where you'll build a scoreboard project using Vite and Node.js, focusing on transitions without server-side dependencies. Discover how to set up and run the project with practical guides, making use of the provided starter and completed templates from GitHub."
06C,Transitions,Making It Work without Transitions,transitions/making-it-work-without-transitions,shuffle,/lessons/transitions/making-it-work-without-transitions,"Learn about handling UI transitions and pending states in React applications with this practical example from Brian Holt's ""Intermediate React v6."" This lesson provides code snippets for managing API requests and displaying scores using a ""Score"" component, focusing on user experience improvements during data fetching."
06D,Transitions,Making It Work with Transitions,transitions/making-it-work-with-transitions,shuffle,/lessons/transitions/making-it-work-with-transitions,"Learn how to implement React's useTransition hook to manage UI transitions effectively during API requests, as taught in Brian Holt's Intermediate React v6 course for Frontend Masters."
07A,Optimistic Values,What Are Optimistic Values,optimistic-values/what-are-optimistic-values,sun,/lessons/optimistic-values/what-are-optimistic-values,"Discover the concept of optimistic UI updates in messaging apps, where the user interface reflects message sending before the actual network send, enhancing user experience. This approach, explained by Brian Holt in the Intermediate React v6 course, utilizes hooks like useOptimistic and useTransition to efficiently manage state changes in React applications."
07B,Optimistic Values,The Project,optimistic-values/the-project,sun,/lessons/optimistic-values/the-project,"Discover how to build a UI in React using server and client interactions including POST requests with intentional delays for error simulation, as outlined in Brian Holt's Intermediate React v6 course on Frontend Masters. Learn to handle UI feedback during asynchronous operations efficiently with techniques like useOptimisticState, enhancing your web development skills with JavaScript and server components."
07C,Optimistic Values,useOptimistic Hook,optimistic-values/useOptimistic-Hook,sun,/lessons/optimistic-values/useOptimistic-Hook,"Discover how optimistic UI updates in messaging apps like iMessage or WhatsApp give users immediate visual feedback before a message is truly sent. Learn with Brian Holt in the Intermediate React v6 course for Frontend Masters, focusing on using React Server Components and hooks like useOptimistic and useTransition for seamless web development."
08A,Deferred Values,What Are Deferred Values,deferred-values/what-are-deferred-values,clock,/lessons/deferred-values/what-are-deferred-values,Learn how to manage computationally expensive components in React to prevent UI lag and improve performance in this Intermediate React v6 course by Brian Holt for Frontend Masters. Discover techniques to handle jank during frequent re-renders and optimize browser interactions in a client-side image editor project.
08B,Deferred Values,The Project,deferred-values/the-project,clock,/lessons/deferred-values/the-project,"Learn how to utilize deferred values and sliders in React to apply dynamic filters to images, featuring examples like the 'DisplayImage' and 'Slider' components. Part of Intermediate React v6 by Brian Holt for Frontend Masters, this lesson covers implementing user input sliders, managing deferred values, and optimizing renders by simulating real-world application performance issues like jank. Perfect for developers looking to enhance their React skills with practical coding examples."
08C,Deferred Values,Making It Less Janky,deferred-values/making-it-less-janky,clock,/lessons/deferred-values/making-it-less-janky,"Learn how to optimize React performance using 'useDeferredValue' to manage low priority rendering, a tool that dynamically adapts to user's device speed, in Brian Holt's ""Intermediate React v6"" course by Frontend Masters."
09A,Wrap Up,Congrats!,wrap-up/congrats,crown,/lessons/wrap-up/congrats,"Congratulations on completing Intermediate React v6 by Brian Holt, taught through Frontend Masters. You're now ready to deploy and enhance your React projects, exploring cloud integration with services like Vercel and Neon, and adding advanced features like authentication and social media-like functionalities. Share your builds and innovations with the community and continue to expand your skills in web development."
